device_name,timestamp,src,src_port,dst,dst_port,packet_type,size,sent_or_received,infected,queue_full_percentage
peer_1,0.00,peer_1,27113,Server,443,UDP,32,sent,False,0.0
peer_1,0.00,peer_1,27113,peer_5,8178,UDP,64,sent,False,0.0
peer_1,0.00,peer_1,80,Server,8080,UDP,207,sent,False,0.5
peer_1,0.00,Server,80,peer_1,46734,UDP,64,received,False,1.0
peer_1,19.65,peer_1,46734,Server,8080,UDP,236,sent,False,0.0
peer_1,22.11,peer_1,46734,Server,80,UDP,64,sent,False,0.0
peer_1,22.45,peer_1,64374,Server,443,UDP,32,sent,False,0.5
peer_1,22.48,Server,8080,peer_1,443,UDP,64,received,False,1.0
peer_1,37.79,peer_1,27113,peer_5,443,UDP,64,sent,False,0.0
peer_1,38.75,peer_1,443,Server,8080,UDP,142,sent,False,0.0
peer_1,44.37,peer_1,80,Server,443,UDP,32,sent,False,0.0
peer_1,55.26,peer_1,80,Server,8080,UDP,177,sent,False,12.5
peer_1,58.50,peer_1,80,peer_5,29446,UDP,64,sent,False,0.0
peer_1,64.94,peer_1,46734,Server,443,UDP,32,sent,False,0.0
peer_1,74.89,peer_1,46734,Server,8080,UDP,178,sent,False,0.0
peer_1,77.42,peer_1,46734,peer_5,8178,UDP,64,sent,False,0.0
peer_1,88.68,peer_1,27113,Server,443,UDP,32,sent,False,1.5
peer_1,92.78,peer_1,27113,Server,8080,UDP,190,sent,False,2.0
peer_1,96.59,peer_1,443,Server,8080,UDP,64,sent,False,0.0
peer_1,100.00,peer_3,24315,peer_1,80,UDP,500,received,True,1.0
peer_1,101.03,peer_4,80,peer_1,80,UDP,500,received,True,1.0
peer_1,101.19,peer_4,48578,peer_1,80,UDP,500,received,True,1.0
peer_1,103.00,peer_4,38654,peer_1,80,UDP,500,received,True,1.0
peer_1,103.28,peer_3,24315,peer_1,80,UDP,500,received,True,1.0
peer_1,105.96,peer_4,19794,peer_1,80,UDP,500,received,True,1.0
peer_1,106.88,peer_4,443,peer_1,80,UDP,500,received,True,1.0
peer_1,107.03,peer_3,24315,peer_1,80,UDP,500,received,True,1.0
peer_1,107.55,peer_4,19794,peer_1,80,UDP,500,received,True,1.0
peer_1,108.79,peer_3,44573,peer_1,80,UDP,500,received,True,1.0
peer_1,111.06,peer_1,27113,Server,443,UDP,32,sent,True,0.0
peer_1,111.42,peer_1,80,Server,8080,UDP,211,sent,True,0.0
peer_1,112.03,peer_3,24315,peer_1,80,UDP,500,received,True,1.0
peer_1,112.45,peer_1,46734,peer_5,59260,UDP,64,sent,True,0.0
peer_1,112.64,peer_4,443,peer_1,80,UDP,500,received,True,1.0
peer_1,113.61,peer_4,80,peer_1,80,UDP,500,received,True,1.0
peer_1,113.69,peer_3,80,peer_1,80,UDP,500,received,True,1.0
peer_1,114.44,peer_3,13819,peer_1,80,UDP,500,received,True,1.0
peer_1,115.35,peer_3,443,peer_1,80,UDP,500,received,True,2.0
peer_1,115.38,peer_4,80,peer_1,80,UDP,500,received,True,2.0
peer_1,115.53,peer_3,24315,peer_1,80,UDP,500,received,True,1.0
peer_1,116.59,peer_3,80,peer_1,80,UDP,500,received,True,1.0
peer_1,119.10,peer_4,38654,peer_1,80,UDP,500,received,True,1.0
peer_1,120.05,peer_3,13819,peer_1,80,UDP,500,received,True,1.0
peer_1,123.70,peer_3,80,peer_1,80,UDP,500,received,True,1.0
peer_1,125.77,peer_3,13819,peer_1,80,UDP,500,received,True,1.0
peer_1,126.61,peer_4,443,peer_1,80,UDP,500,received,True,1.0
peer_1,128.49,peer_3,13819,peer_1,80,UDP,500,received,True,1.0
peer_1,128.60,peer_3,24315,peer_1,80,UDP,500,received,True,1.0
peer_1,128.96,peer_1,443,peer_5,443,UDP,64,sent,True,1.0
peer_1,129.11,peer_1,27113,Server,8080,UDP,170,sent,True,0.0
peer_1,130.42,peer_3,24315,peer_1,80,UDP,500,received,True,1.0
peer_1,130.72,peer_4,38654,peer_1,80,UDP,500,received,True,1.0
peer_1,131.22,peer_4,443,peer_1,80,UDP,500,received,True,1.0
peer_1,133.48,peer_1,80,Server,443,UDP,32,sent,True,0.5
peer_1,133.92,peer_4,19794,peer_1,80,UDP,500,received,True,1.0
peer_1,137.22,peer_4,19794,peer_1,80,UDP,500,received,True,1.0
peer_1,137.28,peer_3,44573,peer_1,80,UDP,500,received,True,1.0
peer_1,138.68,peer_3,24315,peer_1,80,UDP,500,received,True,1.0
peer_1,139.29,peer_3,24315,peer_1,80,UDP,500,received,True,1.0
peer_1,142.55,peer_4,19794,peer_1,80,UDP,500,received,True,1.0
peer_1,143.41,peer_3,80,peer_1,80,UDP,500,received,True,1.0
peer_1,144.31,peer_4,443,peer_1,80,UDP,500,received,True,1.0
peer_1,145.04,peer_3,80,peer_1,80,UDP,500,received,True,1.0
peer_1,146.82,peer_3,13819,peer_1,80,UDP,500,received,True,1.0
peer_1,147.08,peer_1,27113,peer_5,59260,UDP,64,sent,True,0.0
peer_1,147.99,peer_1,46734,Server,8080,UDP,152,sent,True,0.5
peer_1,149.16,peer_4,80,peer_1,80,UDP,500,received,True,1.0
peer_1,150.73,peer_4,19794,peer_1,80,UDP,500,received,True,1.0
peer_1,152.88,peer_3,44573,peer_1,80,UDP,500,received,True,1.0
peer_1,153.44,peer_3,13819,peer_1,80,UDP,500,received,True,1.0
peer_1,154.13,peer_3,13819,peer_1,80,UDP,500,received,True,1.0
peer_1,155.19,peer_4,48578,peer_1,80,UDP,500,received,True,1.0
peer_1,155.58,peer_3,80,peer_1,80,UDP,500,received,True,1.0
peer_1,156.05,peer_1,27113,Server,443,UDP,32,sent,True,0.5
peer_1,156.05,peer_4,48578,peer_1,80,UDP,500,received,True,1.0
peer_1,156.08,peer_3,24315,peer_1,80,UDP,500,received,True,1.0
peer_1,156.60,peer_3,443,peer_1,80,UDP,500,received,True,1.0
peer_1,158.63,peer_3,13819,peer_1,80,UDP,500,received,True,1.0
peer_1,160.29,peer_3,13819,peer_1,80,UDP,500,received,True,1.0
peer_1,160.57,peer_3,24315,peer_1,80,UDP,500,received,True,1.0
peer_1,161.40,peer_4,19794,peer_1,80,UDP,500,received,True,1.0
peer_1,163.49,peer_3,80,peer_1,80,UDP,500,received,True,1.0
peer_1,163.66,peer_4,48578,peer_1,80,UDP,500,received,True,1.0
peer_1,163.83,peer_1,27113,Server,8080,UDP,162,sent,True,0.5
peer_1,164.11,peer_4,48578,peer_1,80,UDP,500,received,True,1.0
peer_1,164.19,peer_3,80,peer_1,80,UDP,500,received,True,1.0
peer_1,164.53,peer_3,44573,peer_1,80,UDP,500,received,True,1.0
peer_1,164.66,peer_3,24315,peer_1,80,UDP,500,received,True,1.0
peer_1,165.87,peer_4,80,peer_1,80,UDP,500,received,True,1.0
peer_1,167.57,peer_3,13819,peer_1,80,UDP,500,received,True,1.0
peer_1,168.84,peer_1,80,peer_5,59260,UDP,64,sent,True,0.0
peer_1,169.81,peer_4,443,peer_1,80,UDP,500,received,True,1.0
peer_1,170.27,peer_3,443,peer_1,80,UDP,500,received,True,1.0
peer_1,170.73,peer_4,48578,peer_1,80,UDP,500,received,True,1.0
peer_1,170.92,peer_3,443,peer_1,80,UDP,500,received,True,1.0
peer_1,171.01,peer_4,48578,peer_1,80,UDP,500,received,True,1.0
peer_1,171.88,peer_3,44573,peer_1,80,UDP,500,received,True,1.0
peer_1,172.11,peer_3,80,peer_1,80,UDP,500,received,True,1.0
peer_1,172.61,peer_4,80,peer_1,80,UDP,500,received,True,1.0
peer_1,173.06,peer_3,80,peer_1,80,UDP,500,received,True,1.0
peer_1,173.47,peer_3,80,peer_1,80,UDP,500,received,True,1.0
peer_1,174.15,peer_4,48578,peer_1,80,UDP,500,received,True,1.0
peer_1,177.80,peer_3,24315,peer_1,80,UDP,500,received,True,1.0
peer_1,178.47,peer_1,27113,Server,443,UDP,32,sent,True,0.0
peer_1,178.87,peer_3,44573,peer_1,80,UDP,500,received,True,1.0
peer_1,179.08,peer_4,80,peer_1,80,UDP,500,received,True,1.0
peer_1,181.61,peer_3,443,peer_1,80,UDP,500,received,True,1.0
peer_1,182.08,peer_4,80,peer_1,80,UDP,500,received,True,1.0
peer_1,182.90,peer_3,24315,peer_1,80,UDP,500,received,True,1.0
peer_1,183.61,peer_1,46734,Server,8080,UDP,224,sent,True,0.0
peer_1,185.31,peer_4,38654,peer_1,80,UDP,500,received,True,1.0
peer_1,187.45,peer_3,443,peer_1,80,UDP,500,received,True,1.0
peer_1,187.85,peer_4,19794,peer_1,80,UDP,500,received,True,1.0
peer_1,188.72,peer_3,44573,peer_1,80,UDP,500,received,True,1.0
peer_1,189.05,peer_4,19794,peer_1,80,UDP,500,received,True,1.0
peer_1,189.94,peer_4,19794,peer_1,80,UDP,500,received,True,1.0
